Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
213.78	0.016575	1472.6	0.00067909	124.13	124.14	0.68826	0.81333	1.2239	899.89	-0.33075	652.57	0.12038	0.020277	0.96318	1.0382	344.50	361.71	1.7995	0.60554	0.69407	139.56	82.731	8.5436	0.0066066
213.95	0.016750	1472.1	0.00067929	124.33	124.34	0.68919	0.81348	1.2242	899.10	-0.33048	650.56	0.12030	0.020252	0.97270	1.0281	344.59	361.81	1.7992	0.60593	0.69450	139.60	82.434	8.5497	0.0066197
214.11	0.016925	1471.7	0.00067950	124.53	124.54	0.69011	0.81363	1.2244	898.32	-0.33022	648.57	0.12022	0.020226	0.98221	1.0181	344.69	361.92	1.7988	0.60631	0.69493	139.64	82.141	8.5559	0.0066327
214.27	0.017100	1471.2	0.00067971	124.72	124.73	0.69103	0.81378	1.2246	897.54	-0.32995	646.61	0.12013	0.020201	0.99172	1.0084	344.78	362.02	1.7984	0.60669	0.69536	139.68	81.853	8.5619	0.0066456
214.43	0.017275	1470.8	0.00067991	124.92	124.93	0.69193	0.81393	1.2249	896.77	-0.32969	644.68	0.12005	0.020177	1.0012	0.99879	344.86	362.12	1.7981	0.60707	0.69578	139.72	81.569	8.5680	0.0066584
214.58	0.017450	1470.3	0.00068011	125.11	125.12	0.69283	0.81408	1.2251	896.01	-0.32943	642.78	0.11997	0.020152	1.0107	0.98941	344.95	362.22	1.7977	0.60744	0.69620	139.76	81.289	8.5739	0.0066710
214.74	0.017625	1469.9	0.00068031	125.30	125.31	0.69372	0.81423	1.2253	895.25	-0.32917	640.89	0.11989	0.020127	1.0202	0.98021	345.04	362.32	1.7974	0.60781	0.69662	139.79	81.012	8.5798	0.0066836
214.90	0.017800	1469.5	0.00068051	125.49	125.50	0.69460	0.81437	1.2255	894.50	-0.32892	639.04	0.11981	0.020103	1.0297	0.97118	345.13	362.41	1.7971	0.60818	0.69703	139.83	80.740	8.5857	0.0066961
215.05	0.017975	1469.1	0.00068071	125.68	125.69	0.69548	0.81452	1.2258	893.76	-0.32866	637.20	0.11973	0.020079	1.0391	0.96233	345.21	362.51	1.7967	0.60854	0.69744	139.87	80.472	8.5915	0.0067084
215.20	0.018150	1468.6	0.00068091	125.86	125.88	0.69634	0.81466	1.2260	893.02	-0.32841	635.39	0.11965	0.020055	1.0486	0.95364	345.30	362.61	1.7964	0.60890	0.69785	139.90	80.207	8.5973	0.0067207
215.35	0.018325	1468.2	0.00068110	126.05	126.06	0.69720	0.81481	1.2262	892.29	-0.32815	633.60	0.11957	0.020032	1.0581	0.94511	345.38	362.70	1.7961	0.60926	0.69825	139.94	79.946	8.6030	0.0067329
215.50	0.018500	1467.8	0.00068130	126.23	126.25	0.69806	0.81495	1.2264	891.57	-0.32790	631.83	0.11949	0.020008	1.0675	0.93674	345.47	362.80	1.7957	0.60962	0.69866	139.97	79.688	8.6087	0.0067450
215.65	0.018675	1467.4	0.00068149	126.42	126.43	0.69890	0.81509	1.2266	890.85	-0.32765	630.08	0.11941	0.019985	1.0770	0.92852	345.55	362.89	1.7954	0.60997	0.69905	140.01	79.434	8.6143	0.0067570
215.80	0.018850	1467.0	0.00068168	126.60	126.61	0.69974	0.81523	1.2269	890.13	-0.32741	628.36	0.11934	0.019962	1.0864	0.92045	345.64	362.99	1.7951	0.61032	0.69945	140.04	79.183	8.6199	0.0067689
215.94	0.019025	1466.6	0.00068187	126.78	126.79	0.70057	0.81537	1.2271	889.42	-0.32716	626.65	0.11926	0.019939	1.0959	0.91252	345.72	363.08	1.7948	0.61067	0.69984	140.08	78.935	8.6255	0.0067807
216.09	0.019200	1466.1	0.00068206	126.95	126.97	0.70140	0.81551	1.2273	888.72	-0.32691	624.97	0.11919	0.019916	1.1053	0.90473	345.80	363.17	1.7945	0.61101	0.70024	140.11	78.691	8.6310	0.0067924
216.23	0.019375	1465.7	0.00068225	127.13	127.14	0.70222	0.81565	1.2275	888.02	-0.32667	623.30	0.11911	0.019894	1.1147	0.89708	345.88	363.26	1.7942	0.61136	0.70062	140.15	78.450	8.6364	0.0068040
216.38	0.019550	1465.3	0.00068243	127.31	127.32	0.70303	0.81578	1.2277	887.33	-0.32643	621.66	0.11904	0.019871	1.1242	0.88956	345.96	363.35	1.7939	0.61170	0.70101	140.18	78.212	8.6419	0.0068155
216.52	0.019725	1465.0	0.00068262	127.48	127.49	0.70383	0.81592	1.2279	886.64	-0.32618	620.03	0.11896	0.019849	1.1336	0.88217	346.04	363.44	1.7936	0.61203	0.70139	140.21	77.977	8.6472	0.0068270
216.66	0.019900	1464.6	0.00068280	127.65	127.67	0.70463	0.81605	1.2281	885.96	-0.32594	618.42	0.11889	0.019827	1.1430	0.87491	346.12	363.53	1.7933	0.61237	0.70178	140.25	77.745	8.6526	0.0068384
216.80	0.020075	1464.2	0.00068298	127.83	127.84	0.70543	0.81619	1.2283	885.28	-0.32570	616.83	0.11882	0.019805	1.1524	0.86777	346.20	363.62	1.7930	0.61270	0.70215	140.28	77.515	8.6579	0.0068497
216.94	0.020250	1463.8	0.00068316	128.00	128.01	0.70621	0.81632	1.2285	884.61	-0.32547	615.26	0.11875	0.019784	1.1618	0.86074	346.28	363.71	1.7927	0.61304	0.70253	140.31	77.289	8.6631	0.0068609
217.08	0.020425	1463.4	0.00068334	128.17	128.18	0.70699	0.81645	1.2287	883.94	-0.32523	613.70	0.11867	0.019762	1.1712	0.85384	346.36	363.80	1.7924	0.61336	0.70290	140.34	77.065	8.6683	0.0068720
217.21	0.020600	1463.0	0.00068352	128.33	128.35	0.70777	0.81659	1.2289	883.28	-0.32499	612.16	0.11860	0.019741	1.1806	0.84705	346.43	363.88	1.7921	0.61369	0.70328	140.37	76.844	8.6735	0.0068831
217.35	0.020775	1462.6	0.00068370	128.50	128.52	0.70854	0.81672	1.2292	882.62	-0.32476	610.64	0.11853	0.019720	1.1900	0.84037	346.51	363.97	1.7918	0.61402	0.70364	140.41	76.626	8.6787	0.0068941
217.49	0.020950	1462.2	0.00068388	128.67	128.68	0.70930	0.81685	1.2294	881.97	-0.32453	609.13	0.11846	0.019698	1.1993	0.83379	346.59	364.06	1.7916	0.61434	0.70401	140.44	76.410	8.6838	0.0069050
217.62	0.021125	1461.9	0.00068405	128.83	128.85	0.71006	0.81698	1.2296	881.32	-0.32430	607.64	0.11839	0.019677	1.2087	0.82733	346.66	364.14	1.7913	0.61466	0.70438	140.47	76.197	8.6889	0.0069158
217.75	0.021300	1461.5	0.00068423	129.00	129.01	0.71082	0.81711	1.2298	880.68	-0.32406	606.17	0.11833	0.019657	1.2181	0.82096	346.74	364.23	1.7910	0.61498	0.70474	140.50	75.986	8.6939	0.0069266
217.89	0.021475	1461.1	0.00068440	129.16	129.17	0.71156	0.81724	1.2300	880.04	-0.32383	604.71	0.11826	0.019636	1.2274	0.81470	346.81	364.31	1.7907	0.61529	0.70510	140.53	75.778	8.6989	0.0069373
218.02	0.021650	1460.8	0.00068458	129.32	129.34	0.71231	0.81736	1.2302	879.41	-0.32361	603.27	0.11819	0.019616	1.2368	0.80853	346.89	364.39	1.7905	0.61561	0.70546	140.56	75.572	8.7039	0.0069479
218.15	0.021825	1460.4	0.00068475	129.48	129.50	0.71304	0.81749	1.2303	878.78	-0.32338	601.84	0.11812	0.019595	1.2462	0.80246	346.96	364.48	1.7902	0.61592	0.70581	140.59	75.368	8.7088	0.0069584
218.28	0.022000	1460.0	0.00068492	129.64	129.66	0.71377	0.81762	1.2305	878.15	-0.32315	600.43	0.11806	0.019575	1.2555	0.79649	347.04	364.56	1.7899	0.61623	0.70617	140.62	75.167	8.7137	0.0069689
218.41	0.022175	1459.7	0.00068509	129.80	129.82	0.71450	0.81774	1.2307	877.53	-0.32293	599.03	0.11799	0.019555	1.2649	0.79060	347.11	364.64	1.7897	0.61654	0.70652	140.65	74.968	8.7186	0.0069793
218.53	0.022350	1459.3	0.00068526	129.96	129.97	0.71522	0.81787	1.2309	876.91	-0.32270	597.64	0.11792	0.019535	1.2742	0.78481	347.18	364.72	1.7894	0.61685	0.70687	140.68	74.771	8.7234	0.0069896
218.66	0.022525	1459.0	0.00068542	130.11	130.13	0.71594	0.81799	1.2311	876.30	-0.32248	596.27	0.11786	0.019515	1.2835	0.77910	347.25	364.80	1.7892	0.61715	0.70722	140.71	74.576	8.7282	0.0069999
218.79	0.022700	1458.6	0.00068559	130.27	130.29	0.71665	0.81811	1.2313	875.69	-0.32226	594.91	0.11779	0.019495	1.2929	0.77348	347.32	364.88	1.7889	0.61745	0.70757	140.73	74.384	8.7330	0.0070101
218.91	0.022875	1458.2	0.00068576	130.43	130.44	0.71736	0.81824	1.2315	875.08	-0.32203	593.57	0.11773	0.019476	1.3022	0.76794	347.40	364.96	1.7886	0.61775	0.70791	140.76	74.193	8.7377	0.0070203
219.04	0.023050	1457.9	0.00068592	130.58	130.60	0.71806	0.81836	1.2317	874.48	-0.32181	592.24	0.11766	0.019456	1.3115	0.76248	347.47	365.04	1.7884	0.61805	0.70825	140.79	74.005	8.7424	0.0070304
219.16	0.023225	1457.5	0.00068609	130.73	130.75	0.71876	0.81848	1.2319	873.88	-0.32160	590.92	0.11760	0.019437	1.3208	0.75710	347.54	365.12	1.7882	0.61835	0.70859	140.82	73.818	8.7471	0.0070404
219.29	0.023400	1457.2	0.00068625	130.88	130.90	0.71945	0.81860	1.2321	873.29	-0.32138	589.61	0.11754	0.019418	1.3301	0.75180	347.61	365.20	1.7879	0.61865	0.70893	140.85	73.634	8.7518	0.0070504
219.41	0.023575	1456.9	0.00068641	131.04	131.05	0.72014	0.81872	1.2323	872.70	-0.32116	588.32	0.11748	0.019399	1.3395	0.74657	347.68	365.28	1.7877	0.61894	0.70927	140.87	73.451	8.7564	0.0070603
219.53	0.023750	1456.5	0.00068657	131.19	131.20	0.72083	0.81884	1.2324	872.11	-0.32094	587.04	0.11741	0.019380	1.3488	0.74142	347.74	365.35	1.7874	0.61923	0.70961	140.90	73.271	8.7610	0.0070701
219.65	0.023925	1456.2	0.00068673	131.33	131.35	0.72151	0.81896	1.2326	871.53	-0.32073	585.77	0.11735	0.019361	1.3581	0.73635	347.81	365.43	1.7872	0.61952	0.70994	140.93	73.092	8.7656	0.0070799
219.77	0.024100	1455.8	0.00068689	131.48	131.50	0.72218	0.81908	1.2328	870.95	-0.32051	584.51	0.11729	0.019342	1.3674	0.73134	347.88	365.51	1.7869	0.61981	0.71027	140.96	72.915	8.7701	0.0070896
219.89	0.024275	1455.5	0.00068705	131.63	131.65	0.72285	0.81920	1.2330	870.37	-0.32030	583.26	0.11723	0.019324	1.3766	0.72640	347.95	365.58	1.7867	0.62010	0.71060	140.98	72.740	8.7746	0.0070993
220.01	0.024450	1455.2	0.00068721	131.78	131.79	0.72352	0.81932	1.2332	869.80	-0.32009	582.03	0.11717	0.019305	1.3859	0.72154	348.02	365.66	1.7865	0.62039	0.71093	141.01	72.567	8.7791	0.0071089
220.13	0.024625	1454.8	0.00068737	131.92	131.94	0.72418	0.81943	1.2334	869.23	-0.31987	580.81	0.11711	0.019287	1.3952	0.71674	348.08	365.73	1.7863	0.62067	0.71126	141.03	72.395	8.7835	0.0071185
220.25	0.024800	1454.5	0.00068752	132.07	132.09	0.72484	0.81955	1.2335	868.66	-0.31966	579.59	0.11705	0.019268	1.4045	0.71200	348.15	365.81	1.7860	0.62095	0.71158	141.06	72.225	8.7880	0.0071280
220.36	0.024975	1454.2	0.00068768	132.21	132.23	0.72550	0.81966	1.2337	868.10	-0.31945	578.39	0.11699	0.019250	1.4138	0.70733	348.22	365.88	1.7858	0.62123	0.71191	141.09	72.057	8.7924	0.0071374
220.48	0.025150	1453.8	0.00068783	132.36	132.37	0.72615	0.81978	1.2339	867.54	-0.31924	577.20	0.11693	0.019232	1.4230	0.70272	348.28	365.96	1.7856	0.62151	0.71223	141.11	71.890	8.7968	0.0071468
220.60	0.025325	1453.5	0.00068799	132.50	132.52	0.72679	0.81989	1.2341	866.99	-0.31903	576.02	0.11687	0.019214	1.4323	0.69818	348.35	366.03	1.7853	0.62179	0.71255	141.14	71.725	8.8011	0.0071561
220.71	0.025500	1453.2	0.00068814	132.64	132.66	0.72744	0.82001	1.2343	866.43	-0.31883	574.85	0.11681	0.019196	1.4416	0.69369	348.41	366.10	1.7851	0.62207	0.71287	141.16	71.562	8.8054	0.0071654
220.83	0.025675	1452.9	0.00068829	132.78	132.80	0.72808	0.82012	1.2344	865.88	-0.31862	573.69	0.11675	0.019179	1.4508	0.68926	348.48	366.18	1.7849	0.62234	0.71319	141.19	71.400	8.8097	0.0071747
