Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp
282.04,0.39951,1264.8,0.00079065,211.75,212.06,1.0432,0.89034,1.3669
282.54,0.40628,1263.1,0.00079173,212.42,212.75,1.0456,0.89099,1.3685
283.04,0.41304,1261.3,0.0007928,213.09,213.42,1.0479,0.89163,1.37
283.52,0.41981,1259.7,0.00079386,213.76,214.09,1.0503,0.89226,1.3716
284,0.42657,1258,0.00079492,214.41,214.75,1.0526,0.89288,1.3731
284.48,0.43334,1256.3,0.00079597,215.06,215.41,1.0549,0.8935,1.3746
284.95,0.4401,1254.7,0.00079701,215.7,216.05,1.0571,0.89411,1.3761
285.41,0.44687,1253.1,0.00079804,216.34,216.69,1.0593,0.89472,1.3777
285.87,0.45363,1251.5,0.00079907,216.96,217.33,1.0615,0.89532,1.3792
286.33,0.4604,1249.9,0.00080009,217.58,217.95,1.0637,0.89591,1.3807
286.77,0.46716,1248.3,0.00080111,218.2,218.57,1.0659,0.8965,1.3822
287.22,0.47393,1246.7,0.00080211,218.81,219.19,1.068,0.89708,1.3837
287.66,0.48069,1245.1,0.00080312,219.41,219.8,1.0701,0.89766,1.3852
288.09,0.48746,1243.6,0.00080411,220.01,220.4,1.0722,0.89824,1.3867
288.52,0.49422,1242.1,0.00080511,220.6,221,1.0742,0.89881,1.3881
288.95,0.50099,1240.6,0.00080609,221.18,221.59,1.0762,0.89937,1.3896
289.37,0.50775,1239,0.00080707,221.76,222.17,1.0782,0.89993,1.3911
289.78,0.51452,1237.6,0.00080805,222.34,222.75,1.0802,0.90048,1.3926
290.2,0.52128,1236.1,0.00080902,222.91,223.33,1.0822,0.90103,1.394
290.6,0.52805,1234.6,0.00080998,223.47,223.9,1.0841,0.90158,1.3955
291.01,0.53481,1233.1,0.00081094,224.03,224.47,1.0861,0.90212,1.397
291.41,0.54158,1231.7,0.0008119,224.59,225.03,1.088,0.90266,1.3984
291.81,0.54834,1230.2,0.00081285,225.14,225.58,1.0899,0.90319,1.3999
292.2,0.5551,1228.8,0.0008138,225.68,226.13,1.0917,0.90372,1.4013
292.59,0.56187,1227.4,0.00081474,226.22,226.68,1.0936,0.90425,1.4028
