Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
351.91	0.88698	34.539	0.028953	437.00	462.68	1.8509	0.88150	1.0220	162.54	13.405	13.986	0.018049	vapor
352.15	0.88698	34.504	0.028983	437.22	462.93	1.8516	0.88177	1.0221	162.63	13.371	13.996	0.018068	vapor
352.39	0.88698	34.469	0.029012	437.44	463.18	1.8523	0.88203	1.0221	162.73	13.336	14.006	0.018086	vapor
352.63	0.88698	34.434	0.029041	437.67	463.42	1.8530	0.88230	1.0222	162.82	13.302	14.016	0.018105	vapor
352.88	0.88698	34.399	0.029071	437.89	463.67	1.8538	0.88257	1.0222	162.91	13.268	14.025	0.018124	vapor
353.12	0.88698	34.364	0.029100	438.11	463.92	1.8545	0.88284	1.0223	163.01	13.234	14.035	0.018142	vapor
353.36	0.88698	34.330	0.029129	438.33	464.17	1.8552	0.88311	1.0224	163.10	13.201	14.045	0.018161	vapor
353.61	0.88698	34.295	0.029159	438.56	464.42	1.8559	0.88339	1.0224	163.19	13.167	14.055	0.018180	vapor
353.85	0.88698	34.261	0.029188	438.78	464.67	1.8566	0.88366	1.0225	163.28	13.134	14.065	0.018198	vapor
354.09	0.88698	34.226	0.029217	439.00	464.92	1.8573	0.88393	1.0225	163.38	13.100	14.075	0.018217	vapor
354.34	0.88698	34.192	0.029247	439.22	465.16	1.8580	0.88421	1.0226	163.47	13.067	14.085	0.018236	vapor
354.58	0.88698	34.158	0.029276	439.45	465.41	1.8587	0.88448	1.0227	163.56	13.034	14.095	0.018254	vapor
354.82	0.88698	34.124	0.029305	439.67	465.66	1.8594	0.88475	1.0228	163.65	13.001	14.105	0.018273	vapor
355.07	0.88698	34.090	0.029334	439.89	465.91	1.8601	0.88503	1.0228	163.75	12.968	14.115	0.018292	vapor
355.31	0.88698	34.056	0.029363	440.11	466.16	1.8608	0.88531	1.0229	163.84	12.936	14.125	0.018310	vapor
355.55	0.88698	34.022	0.029392	440.34	466.41	1.8615	0.88558	1.0230	163.93	12.903	14.135	0.018329	vapor
355.79	0.88698	33.989	0.029422	440.56	466.66	1.8622	0.88586	1.0231	164.02	12.871	14.145	0.018348	vapor
356.04	0.88698	33.955	0.029451	440.78	466.90	1.8629	0.88614	1.0231	164.11	12.838	14.154	0.018366	vapor
356.28	0.88698	33.922	0.029480	441.01	467.15	1.8636	0.88642	1.0232	164.21	12.806	14.164	0.018385	vapor
356.52	0.88698	33.888	0.029509	441.23	467.40	1.8643	0.88670	1.0233	164.30	12.774	14.174	0.018404	vapor
356.77	0.88698	33.855	0.029538	441.45	467.65	1.8650	0.88698	1.0234	164.39	12.742	14.184	0.018422	vapor
357.01	0.88698	33.822	0.029567	441.67	467.90	1.8657	0.88726	1.0235	164.48	12.711	14.194	0.018441	vapor
357.25	0.88698	33.789	0.029596	441.90	468.15	1.8664	0.88754	1.0236	164.57	12.679	14.204	0.018460	vapor
