Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
297.17	6.2912	724.68	0.0013799	262.03	270.71	1.2355	1.0531	5.7819	287.95	2.0635	59.301	0.081358	0.00068866	231.36	0.0043222	370.44	397.63	1.6625	1.1549	7.0728	190.74	9.9032	19.257	0.044093
297.25	6.3027	723.59	0.0013820	262.32	271.03	1.2365	1.0543	5.8297	286.88	2.0780	59.144	0.081303	0.00067890	232.24	0.0043060	370.25	397.38	1.6616	1.1569	7.1523	190.62	9.8814	19.292	0.044328
297.33	6.3141	722.48	0.0013841	262.61	271.35	1.2375	1.0556	5.8786	285.80	2.0926	58.987	0.081250	0.00066918	233.11	0.0042898	370.05	397.14	1.6606	1.1590	7.2336	190.49	9.8594	19.327	0.044566
297.41	6.3255	721.37	0.0013862	262.90	271.67	1.2385	1.0569	5.9286	284.72	2.1074	58.830	0.081199	0.00065951	234.00	0.0042735	369.86	396.89	1.6596	1.1611	7.3168	190.37	9.8374	19.362	0.044807
297.49	6.3370	720.26	0.0013884	263.20	272.00	1.2396	1.0582	5.9798	283.64	2.1224	58.672	0.081149	0.00064988	234.89	0.0042573	369.66	396.64	1.6586	1.1631	7.4018	190.24	9.8152	19.398	0.045052
297.57	6.3484	719.13	0.0013906	263.49	272.32	1.2406	1.0595	6.0321	282.55	2.1375	58.514	0.081101	0.00064029	235.79	0.0042412	369.46	396.39	1.6576	1.1653	7.4888	190.11	9.7930	19.434	0.045300
297.64	6.3598	718.01	0.0013927	263.79	272.64	1.2416	1.0609	6.0856	281.46	2.1528	58.356	0.081055	0.00063075	236.69	0.0042250	369.26	396.13	1.6565	1.1674	7.5779	189.98	9.7706	19.471	0.045552
297.72	6.3713	716.87	0.0013950	264.08	272.97	1.2427	1.0623	6.1405	280.36	2.1682	58.197	0.081010	0.00062125	237.60	0.0042088	369.06	395.88	1.6555	1.1696	7.6690	189.85	9.7481	19.507	0.045807
297.80	6.3827	715.73	0.0013972	264.38	273.30	1.2437	1.0637	6.1966	279.26	2.1839	58.037	0.080967	0.00061180	238.51	0.0041926	368.86	395.62	1.6545	1.1717	7.7623	189.72	9.7255	19.544	0.046066
297.88	6.3941	714.58	0.0013994	264.68	273.62	1.2448	1.0651	6.2541	278.16	2.1997	57.878	0.080926	0.00060239	239.44	0.0041765	368.65	395.36	1.6535	1.1739	7.8579	189.59	9.7027	19.582	0.046328
297.96	6.4056	713.43	0.0014017	264.97	273.95	1.2458	1.0666	6.3130	277.05	2.2156	57.717	0.080887	0.00059302	240.37	0.0041603	368.45	395.10	1.6524	1.1762	7.9558	189.46	9.6799	19.620	0.046594
298.03	6.4170	712.27	0.0014040	265.27	274.28	1.2469	1.0681	6.3734	275.94	2.2318	57.557	0.080850	0.00058370	241.30	0.0041441	368.24	394.83	1.6514	1.1784	8.0561	189.32	9.6569	19.658	0.046865
298.11	6.4284	711.10	0.0014063	265.57	274.62	1.2479	1.0696	6.4353	274.83	2.2481	57.396	0.080815	0.00057442	242.25	0.0041280	368.03	394.57	1.6503	1.1807	8.1590	189.19	9.6338	19.696	0.047139
298.19	6.4399	709.92	0.0014086	265.88	274.95	1.2490	1.0712	6.4987	273.71	2.2646	57.234	0.080782	0.00056518	243.20	0.0041118	367.82	394.30	1.6493	1.1830	8.2644	189.05	9.6106	19.735	0.047418
298.27	6.4513	708.74	0.0014109	266.18	275.28	1.2501	1.0728	6.5638	272.59	2.2813	57.072	0.080752	0.00055599	244.16	0.0040957	367.60	394.03	1.6482	1.1853	8.3726	188.91	9.5872	19.775	0.047701
298.34	6.4627	707.55	0.0014133	266.48	275.62	1.2511	1.0744	6.6306	271.47	2.2983	56.910	0.080723	0.00054685	245.13	0.0040795	367.39	393.75	1.6471	1.1877	8.4835	188.77	9.5637	19.815	0.047988
298.42	6.4742	706.36	0.0014157	266.79	275.95	1.2522	1.0760	6.6992	270.34	2.3154	56.747	0.080697	0.00053775	246.10	0.0040634	367.17	393.48	1.6460	1.1900	8.5974	188.63	9.5401	19.855	0.048280
298.50	6.4856	705.15	0.0014181	267.10	276.29	1.2533	1.0777	6.7695	269.20	2.3327	56.584	0.080673	0.00052869	247.08	0.0040472	366.95	393.20	1.6449	1.1924	8.7143	188.49	9.5163	19.895	0.048576
298.57	6.4970	703.94	0.0014206	267.40	276.63	1.2544	1.0794	6.8418	268.07	2.3502	56.419	0.080652	0.00051968	248.07	0.0040311	366.73	392.92	1.6439	1.1949	8.8344	188.35	9.4924	19.937	0.048877
298.65	6.5084	702.72	0.0014231	267.71	276.97	1.2555	1.0812	6.9161	266.92	2.3679	56.255	0.080633	0.00051072	249.07	0.0040149	366.50	392.64	1.6427	1.1974	8.9577	188.20	9.4683	19.978	0.049184
298.73	6.5199	701.49	0.0014255	268.02	277.32	1.2566	1.0830	6.9924	265.78	2.3858	56.090	0.080617	0.00050180	250.08	0.0039987	366.28	392.35	1.6416	1.1998	9.0845	188.06	9.4441	20.020	0.049495
298.80	6.5313	700.25	0.0014281	268.33	277.66	1.2577	1.0848	7.0709	264.63	2.4040	55.924	0.080604	0.00049292	251.09	0.0039826	366.05	392.06	1.6405	1.2024	9.2149	187.91	9.4198	20.062	0.049812
298.88	6.5427	699.00	0.0014306	268.65	278.01	1.2588	1.0867	7.1516	263.47	2.4224	55.758	0.080594	0.00048409	252.12	0.0039664	365.82	391.77	1.6394	1.2049	9.3489	187.76	9.3953	20.105	0.050134
298.95	6.5542	697.75	0.0014332	268.96	278.35	1.2599	1.0886	7.2346	262.31	2.4410	55.591	0.080586	0.00047531	253.15	0.0039502	365.59	391.48	1.6383	1.2075	9.4869	187.61	9.3706	20.149	0.050461
299.03	6.5656	696.48	0.0014358	269.28	278.70	1.2610	1.0905	7.3201	261.15	2.4598	55.423	0.080581	0.00046657	254.20	0.0039340	365.35	391.18	1.6371	1.2102	9.6289	187.46	9.3458	20.193	0.050795
299.11	6.5770	695.21	0.0014384	269.59	279.05	1.2621	1.0925	7.4081	259.98	2.4789	55.255	0.080580	0.00045788	255.25	0.0039178	365.11	390.88	1.6360	1.2128	9.7751	187.31	9.3208	20.237	0.051134
299.18	6.5885	693.92	0.0014411	269.91	279.41	1.2632	1.0945	7.4988	258.81	2.4982	55.086	0.080581	0.00044924	256.31	0.0039015	364.87	390.58	1.6348	1.2155	9.9258	187.15	9.2956	20.282	0.051480
299.26	6.5999	692.63	0.0014438	270.23	279.76	1.2644	1.0966	7.5922	257.63	2.5177	54.916	0.080586	0.00044064	257.38	0.0038853	364.63	390.27	1.6336	1.2183	10.081	186.99	9.2703	20.328	0.051832
299.33	6.6113	691.33	0.0014465	270.55	280.12	1.2655	1.0987	7.6885	256.44	2.5375	54.745	0.080595	0.00043209	258.46	0.0038690	364.39	389.97	1.6325	1.2210	10.241	186.83	9.2448	20.374	0.052190
299.41	6.6228	690.01	0.0014492	270.88	280.48	1.2666	1.1009	7.7879	255.25	2.5576	54.574	0.080607	0.00042358	259.56	0.0038527	364.14	389.66	1.6313	1.2238	10.406	186.67	9.2191	20.421	0.052555
299.48	6.6342	688.69	0.0014520	271.20	280.84	1.2678	1.1031	7.8904	254.06	2.5779	54.402	0.080622	0.00041513	260.66	0.0038364	363.89	389.34	1.6301	1.2267	10.577	186.51	9.1932	20.468	0.052928
299.56	6.6456	687.35	0.0014549	271.53	281.20	1.2689	1.1054	7.9963	252.86	2.5985	54.229	0.080642	0.00040672	261.77	0.0038201	363.64	389.02	1.6289	1.2296	10.753	186.35	9.1671	20.516	0.053308
299.63	6.6571	686.01	0.0014577	271.86	281.56	1.2701	1.1077	8.1056	251.66	2.6194	54.056	0.080665	0.00039836	262.90	0.0038037	363.38	388.70	1.6277	1.2325	10.935	186.18	9.1409	20.564	0.053695
299.71	6.6685	684.65	0.0014606	272.19	281.93	1.2713	1.1101	8.2186	250.45	2.6405	53.881	0.080693	0.00039005	264.04	0.0037874	363.12	388.38	1.6264	1.2355	11.123	186.01	9.1144	20.613	0.054090
299.78	6.6799	683.28	0.0014635	272.52	282.30	1.2724	1.1125	8.3355	249.23	2.6620	53.706	0.080724	0.00038178	265.18	0.0037710	362.86	388.05	1.6252	1.2386	11.317	185.84	9.0878	20.663	0.054494
299.86	6.6914	681.90	0.0014665	272.85	282.67	1.2736	1.1150	8.4564	248.01	2.6837	53.530	0.080760	0.00037356	266.34	0.0037545	362.60	387.72	1.6240	1.2416	11.519	185.66	9.0609	20.714	0.054906
299.93	6.7028	680.50	0.0014695	273.19	283.04	1.2748	1.1176	8.5815	246.78	2.7057	53.353	0.080801	0.00036540	267.52	0.0037381	362.33	387.38	1.6227	1.2448	11.727	185.49	9.0338	20.765	0.055327
300.01	6.7142	679.10	0.0014725	273.53	283.42	1.2760	1.1202	8.7111	245.54	2.7281	53.174	0.080846	0.00035728	268.70	0.0037216	362.06	387.05	1.6214	1.2480	11.943	185.31	9.0065	20.817	0.055757
300.08	6.7257	677.68	0.0014756	273.87	283.79	1.2772	1.1229	8.8455	244.30	2.7508	52.995	0.080896	0.00034921	269.90	0.0037050	361.78	386.70	1.6201	1.2512	12.167	185.13	8.9790	20.869	0.056197
300.16	6.7371	676.24	0.0014788	274.21	284.17	1.2784	1.1256	8.9848	243.06	2.7737	52.815	0.080952	0.00034119	271.12	0.0036885	361.51	386.36	1.6188	1.2545	12.399	184.95	8.9512	20.923	0.056646
300.23	6.7485	674.80	0.0014819	274.56	284.56	1.2796	1.1285	9.1294	241.80	2.7971	52.634	0.081012	0.00033323	272.34	0.0036719	361.23	386.01	1.6175	1.2578	12.641	184.76	8.9232	20.977	0.057106
300.30	6.7600	673.34	0.0014851	274.90	284.94	1.2809	1.1313	9.2796	240.54	2.8208	52.452	0.081079	0.00032531	273.58	0.0036552	360.94	385.65	1.6162	1.2613	12.891	184.57	8.8949	21.032	0.057577
300.38	6.7714	671.86	0.0014884	275.25	285.33	1.2821	1.1343	9.4356	239.27	2.8448	52.268	0.081150	0.00031744	274.84	0.0036385	360.65	385.29	1.6149	1.2647	13.152	184.38	8.8664	21.088	0.058060
300.45	6.7828	670.37	0.0014917	275.61	285.72	1.2833	1.1374	9.5979	237.99	2.8692	52.083	0.081228	0.00030963	276.11	0.0036217	360.36	384.93	1.6135	1.2683	13.423	184.18	8.8377	21.144	0.058554
300.53	6.7943	668.86	0.0014951	275.96	286.12	1.2846	1.1405	9.7669	236.71	2.8940	51.897	0.081313	0.00030186	277.40	0.0036049	360.07	384.56	1.6122	1.2719	13.705	183.98	8.8086	21.202	0.059061
300.60	6.8057	667.34	0.0014985	276.32	286.52	1.2859	1.1437	9.9428	235.42	2.9191	51.710	0.081403	0.00029415	278.70	0.0035881	359.77	384.19	1.6108	1.2756	14.000	183.78	8.7793	21.261	0.059581
300.67	6.8171	665.80	0.0015020	276.68	286.92	1.2871	1.1470	10.126	234.11	2.9447	51.522	0.081501	0.00028649	280.02	0.0035712	359.46	383.81	1.6094	1.2793	14.307	183.58	8.7497	21.320	0.060114
300.75	6.8286	664.24	0.0015055	277.04	287.32	1.2884	1.1504	10.318	232.80	2.9707	51.332	0.081606	0.00027889	281.36	0.0035542	359.15	383.42	1.6080	1.2832	14.627	183.37	8.7198	21.381	0.060662
300.82	6.8400	662.67	0.0015091	277.41	287.73	1.2897	1.1540	10.518	231.48	2.9971	51.141	0.081718	0.00027134	282.71	0.0035371	358.84	383.04	1.6065	1.2871	14.962	183.15	8.6895	21.442	0.061226
300.89	6.8514	661.07	0.0015127	277.78	288.14	1.2910	1.1576	10.727	230.15	3.0239	50.948	0.081839	0.00026384	284.09	0.0035200	358.52	382.64	1.6051	1.2911	15.313	182.94	8.6590	21.505	0.061805
