Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
259.26	0.17159	1339.4	0.00074662	181.46	181.59	0.93117	0.86225	1.3065	685.56	-0.22325	319.74	0.098259	0.013408	8.6536	0.11556	370.48	390.31	1.7362	0.72137	0.83888	146.71	38.981	10.221	0.010327
259.44	0.17289	1338.8	0.00074694	181.70	181.83	0.93210	0.86247	1.3069	684.70	-0.22262	318.94	0.098175	0.013381	8.7160	0.11473	370.58	390.42	1.7361	0.72188	0.83960	146.72	38.889	10.227	0.010343
259.63	0.17419	1338.2	0.00074726	181.94	182.07	0.93303	0.86269	1.3073	683.85	-0.22200	318.15	0.098091	0.013354	8.7783	0.11392	370.69	390.53	1.7359	0.72239	0.84032	146.73	38.797	10.234	0.010358
259.81	0.17549	1337.6	0.00074758	182.18	182.31	0.93395	0.86291	1.3077	683.01	-0.22137	317.37	0.098008	0.013328	8.8406	0.11311	370.79	390.64	1.7358	0.72290	0.84104	146.74	38.706	10.241	0.010374
259.99	0.17679	1337.1	0.00074790	182.42	182.55	0.93486	0.86312	1.3082	682.17	-0.22075	316.60	0.097925	0.013302	8.9029	0.11232	370.89	390.75	1.7357	0.72340	0.84175	146.75	38.616	10.247	0.010389
260.17	0.17809	1336.5	0.00074822	182.65	182.79	0.93577	0.86334	1.3086	681.34	-0.22013	315.83	0.097843	0.013276	8.9651	0.11154	371.00	390.86	1.7355	0.72390	0.84246	146.76	38.527	10.254	0.010404
260.35	0.17939	1335.9	0.00074853	182.89	183.02	0.93667	0.86355	1.3090	680.51	-0.21951	315.07	0.097761	0.013250	9.0274	0.11077	371.10	390.97	1.7354	0.72440	0.84317	146.77	38.439	10.260	0.010419
260.53	0.18069	1335.4	0.00074885	183.12	183.26	0.93756	0.86376	1.3094	679.69	-0.21890	314.32	0.097679	0.013224	9.0896	0.11002	371.20	391.08	1.7353	0.72490	0.84387	146.78	38.352	10.267	0.010434
260.71	0.18199	1334.8	0.00074916	183.35	183.49	0.93845	0.86397	1.3098	678.87	-0.21828	313.57	0.097599	0.013198	9.1519	0.10927	371.30	391.19	1.7351	0.72539	0.84457	146.79	38.265	10.273	0.010449
260.89	0.18329	1334.3	0.00074947	183.58	183.72	0.93934	0.86418	1.3102	678.06	-0.21767	312.83	0.097518	0.013173	9.2141	0.10853	371.40	391.29	1.7350	0.72589	0.84527	146.79	38.180	10.280	0.010464
261.06	0.18459	1333.7	0.00074978	183.81	183.95	0.94022	0.86439	1.3106	677.25	-0.21705	312.10	0.097438	0.013147	9.2763	0.10780	371.50	391.40	1.7349	0.72638	0.84597	146.80	38.095	10.286	0.010479
261.24	0.18589	1333.2	0.00075009	184.04	184.18	0.94109	0.86460	1.3110	676.44	-0.21644	311.37	0.097359	0.013122	9.3385	0.10708	371.60	391.51	1.7347	0.72686	0.84667	146.81	38.011	10.292	0.010494
261.41	0.18719	1332.6	0.00075040	184.27	184.41	0.94196	0.86481	1.3115	675.64	-0.21583	310.65	0.097280	0.013097	9.4007	0.10638	371.70	391.61	1.7346	0.72735	0.84736	146.82	37.927	10.299	0.010508
261.58	0.18850	1332.1	0.00075071	184.49	184.64	0.94283	0.86501	1.3119	674.84	-0.21522	309.93	0.097201	0.013072	9.4629	0.10568	371.80	391.72	1.7345	0.72783	0.84805	146.83	37.845	10.305	0.010523
261.76	0.18980	1331.5	0.00075101	184.72	184.86	0.94369	0.86522	1.3123	674.05	-0.21462	309.22	0.097123	0.013048	9.5250	0.10499	371.90	391.82	1.7343	0.72831	0.84873	146.83	37.763	10.311	0.010537
261.93	0.19110	1331.0	0.00075132	184.94	185.09	0.94454	0.86542	1.3127	673.26	-0.21401	308.52	0.097046	0.013023	9.5872	0.10431	371.99	391.93	1.7342	0.72879	0.84942	146.84	37.682	10.317	0.010552
262.10	0.19240	1330.5	0.00075162	185.17	185.31	0.94539	0.86562	1.3131	672.48	-0.21341	307.82	0.096968	0.012998	9.6493	0.10363	372.09	392.03	1.7341	0.72927	0.85010	146.85	37.601	10.323	0.010566
262.27	0.19370	1329.9	0.00075192	185.39	185.53	0.94624	0.86583	1.3135	671.70	-0.21280	307.13	0.096892	0.012974	9.7115	0.10297	372.19	392.13	1.7340	0.72974	0.85078	146.85	37.522	10.330	0.010581
262.43	0.19500	1329.4	0.00075222	185.61	185.75	0.94708	0.86603	1.3139	670.92	-0.21220	306.44	0.096815	0.012950	9.7736	0.10232	372.28	392.23	1.7339	0.73021	0.85146	146.86	37.443	10.336	0.010595
262.60	0.19630	1328.9	0.00075252	185.83	185.97	0.94791	0.86623	1.3143	670.15	-0.21160	305.76	0.096740	0.012926	9.8357	0.10167	372.38	392.33	1.7337	0.73068	0.85213	146.87	37.365	10.342	0.010609
262.77	0.19760	1328.3	0.00075282	186.05	186.19	0.94875	0.86643	1.3147	669.39	-0.21100	305.09	0.096664	0.012902	9.8978	0.10103	372.47	392.43	1.7336	0.73115	0.85280	146.87	37.287	10.348	0.010623
262.93	0.19890	1327.8	0.00075312	186.26	186.41	0.94957	0.86663	1.3150	668.62	-0.21040	304.42	0.096589	0.012878	9.9599	0.10040	372.56	392.53	1.7335	0.73161	0.85348	146.88	37.210	10.354	0.010637
263.10	0.20020	1327.3	0.00075342	186.48	186.63	0.95039	0.86682	1.3154	667.86	-0.20980	303.75	0.096514	0.012854	10.022	0.099781	372.66	392.63	1.7334	0.73208	0.85414	146.88	37.134	10.360	0.010651
263.26	0.20150	1326.8	0.00075371	186.69	186.85	0.95121	0.86702	1.3158	667.11	-0.20920	303.09	0.096440	0.012831	10.084	0.099166	372.75	392.73	1.7333	0.73254	0.85481	146.89	37.058	10.366	0.010665
263.43	0.20280	1326.2	0.00075401	186.91	187.06	0.95203	0.86722	1.3162	666.36	-0.20861	302.44	0.096366	0.012807	10.146	0.098560	372.84	392.83	1.7332	0.73300	0.85547	146.89	36.983	10.372	0.010679
263.59	0.20410	1325.7	0.00075430	187.12	187.28	0.95284	0.86741	1.3166	665.61	-0.20801	301.79	0.096293	0.012784	10.208	0.097960	372.94	392.93	1.7330	0.73345	0.85614	146.90	36.909	10.378	0.010693
263.75	0.20540	1325.2	0.00075459	187.33	187.49	0.95364	0.86760	1.3170	664.86	-0.20742	301.15	0.096220	0.012761	10.270	0.097369	373.03	393.03	1.7329	0.73391	0.85680	146.91	36.835	10.383	0.010706
263.91	0.20671	1324.7	0.00075488	187.54	187.70	0.95444	0.86780	1.3174	664.12	-0.20683	300.51	0.096147	0.012738	10.332	0.096784	373.12	393.12	1.7328	0.73436	0.85745	146.91	36.762	10.389	0.010720
264.07	0.20801	1324.2	0.00075517	187.76	187.91	0.95524	0.86799	1.3178	663.39	-0.20624	299.87	0.096075	0.012715	10.394	0.096206	373.21	393.22	1.7327	0.73481	0.85811	146.91	36.690	10.395	0.010734
264.23	0.20931	1323.7	0.00075546	187.96	188.12	0.95603	0.86818	1.3182	662.65	-0.20565	299.24	0.096003	0.012692	10.456	0.095636	373.30	393.32	1.7326	0.73526	0.85876	146.92	36.618	10.401	0.010747
264.39	0.21061	1323.2	0.00075575	188.17	188.33	0.95682	0.86837	1.3185	661.92	-0.20506	298.62	0.095931	0.012669	10.518	0.095072	373.39	393.41	1.7325	0.73571	0.85941	146.92	36.546	10.407	0.010761
264.55	0.21191	1322.7	0.00075604	188.38	188.54	0.95760	0.86856	1.3189	661.20	-0.20447	298.00	0.095860	0.012647	10.580	0.094514	373.48	393.51	1.7324	0.73615	0.86006	146.93	36.476	10.412	0.010774
264.70	0.21321	1322.2	0.00075632	188.59	188.75	0.95838	0.86875	1.3193	660.47	-0.20388	297.38	0.095789	0.012624	10.642	0.093964	373.57	393.60	1.7323	0.73660	0.86071	146.93	36.405	10.418	0.010787
264.86	0.21451	1321.7	0.00075661	188.79	188.95	0.95916	0.86894	1.3197	659.76	-0.20330	296.77	0.095719	0.012602	10.704	0.093420	373.65	393.69	1.7322	0.73704	0.86135	146.94	36.336	10.424	0.010801
265.02	0.21581	1321.2	0.00075689	189.00	189.16	0.95993	0.86913	1.3201	659.04	-0.20271	296.17	0.095649	0.012580	10.766	0.092882	373.74	393.79	1.7321	0.73748	0.86200	146.94	36.267	10.429	0.010814
265.17	0.21711	1320.7	0.00075718	189.20	189.36	0.96070	0.86931	1.3204	658.33	-0.20213	295.56	0.095579	0.012558	10.828	0.092350	373.83	393.88	1.7320	0.73792	0.86264	146.94	36.198	10.435	0.010827
265.33	0.21841	1320.2	0.00075746	189.40	189.57	0.96147	0.86950	1.3208	657.62	-0.20155	294.97	0.095509	0.012536	10.890	0.091824	373.92	393.97	1.7319	0.73835	0.86328	146.95	36.130	10.441	0.010840
265.48	0.21971	1319.7	0.00075774	189.61	189.77	0.96223	0.86969	1.3212	656.91	-0.20096	294.37	0.095440	0.012514	10.952	0.091305	374.00	394.06	1.7318	0.73879	0.86392	146.95	36.063	10.446	0.010853
265.63	0.22101	1319.2	0.00075802	189.81	189.97	0.96298	0.86987	1.3216	656.21	-0.20038	293.78	0.095372	0.012492	11.014	0.090791	374.09	394.16	1.7317	0.73922	0.86455	146.95	35.996	10.452	0.010866
265.78	0.22231	1318.7	0.00075830	190.01	190.18	0.96374	0.87005	1.3220	655.51	-0.19980	293.20	0.095303	0.012470	11.076	0.090283	374.18	394.25	1.7316	0.73965	0.86519	146.96	35.929	10.457	0.010879
265.93	0.22361	1318.2	0.00075858	190.21	190.38	0.96449	0.87024	1.3223	654.81	-0.19922	292.62	0.095235	0.012449	11.138	0.089781	374.26	394.34	1.7315	0.74008	0.86582	146.96	35.864	10.463	0.010892
266.09	0.22492	1317.8	0.00075886	190.40	190.57	0.96523	0.87042	1.3227	654.12	-0.19864	292.04	0.095167	0.012427	11.200	0.089285	374.35	394.43	1.7314	0.74051	0.86645	146.96	35.798	10.468	0.010905
266.24	0.22622	1317.3	0.00075914	190.60	190.77	0.96598	0.87060	1.3231	653.43	-0.19807	291.47	0.095100	0.012406	11.262	0.088793	374.43	394.52	1.7313	0.74094	0.86708	146.96	35.733	10.474	0.010918
266.38	0.22752	1316.8	0.00075941	190.80	190.97	0.96672	0.87078	1.3234	652.74	-0.19749	290.90	0.095033	0.012384	11.324	0.088308	374.52	394.61	1.7312	0.74136	0.86770	146.97	35.669	10.479	0.010931
266.53	0.22882	1316.3	0.00075969	190.99	191.17	0.96745	0.87096	1.3238	652.06	-0.19691	290.33	0.094966	0.012363	11.386	0.087828	374.60	394.70	1.7311	0.74178	0.86833	146.97	35.605	10.484	0.010943
266.68	0.23012	1315.9	0.00075996	191.19	191.36	0.96819	0.87114	1.3242	651.38	-0.19634	289.77	0.094900	0.012342	11.448	0.087352	374.68	394.78	1.7310	0.74220	0.86895	146.97	35.542	10.490	0.010956
266.83	0.23142	1315.4	0.00076024	191.38	191.56	0.96891	0.87132	1.3245	650.70	-0.19576	289.22	0.094833	0.012321	11.510	0.086883	374.77	394.87	1.7309	0.74262	0.86957	146.97	35.479	10.495	0.010969
266.98	0.23272	1314.9	0.00076051	191.58	191.76	0.96964	0.87150	1.3249	650.03	-0.19519	288.66	0.094768	0.012300	11.572	0.086418	374.85	394.96	1.7308	0.74304	0.87019	146.97	35.416	10.501	0.010981
267.12	0.23402	1314.4	0.00076078	191.77	191.95	0.97036	0.87168	1.3253	649.36	-0.19462	288.11	0.094702	0.012279	11.634	0.085958	374.93	395.05	1.7307	0.74346	0.87081	146.98	35.354	10.506	0.010994
267.27	0.23532	1314.0	0.00076105	191.96	192.14	0.97108	0.87185	1.3256	648.69	-0.19405	287.57	0.094637	0.012259	11.696	0.085503	375.01	395.13	1.7306	0.74387	0.87143	146.98	35.293	10.511	0.011006
267.41	0.23662	1313.5	0.00076132	192.15	192.33	0.97180	0.87203	1.3260	648.02	-0.19348	287.02	0.094572	0.012238	11.757	0.085053	375.09	395.22	1.7305	0.74428	0.87204	146.98	35.231	10.516	0.011018
267.56	0.23792	1313.0	0.00076159	192.34	192.53	0.97251	0.87221	1.3264	647.36	-0.19291	286.48	0.094507	0.012218	11.819	0.084607	375.18	395.31	1.7304	0.74470	0.87266	146.98	35.171	10.522	0.011031
267.70	0.23922	1312.6	0.00076186	192.53	192.72	0.97322	0.87238	1.3267	646.70	-0.19234	285.95	0.094443	0.012197	11.881	0.084167	375.26	395.39	1.7303	0.74511	0.87327	146.98	35.111	10.527	0.011043
267.84	0.24052	1312.1	0.00076213	192.72	192.91	0.97393	0.87256	1.3271	646.04	-0.19177	285.42	0.094379	0.012177	11.943	0.083730	375.34	395.48	1.7302	0.74551	0.87388	146.98	35.051	10.532	0.011055
267.98	0.24182	1311.7	0.00076240	192.91	193.10	0.97463	0.87273	1.3275	645.39	-0.19120	284.89	0.094315	0.012157	12.005	0.083299	375.42	395.56	1.7301	0.74592	0.87449	146.98	34.991	10.537	0.011068
268.13	0.24313	1311.2	0.00076266	193.10	193.28	0.97533	0.87290	1.3278	644.73	-0.19063	284.36	0.094252	0.012137	12.067	0.082872	375.50	395.64	1.7300	0.74633	0.87509	146.98	34.932	10.542	0.011080
268.27	0.24443	1310.7	0.00076293	193.29	193.47	0.97602	0.87307	1.3282	644.08	-0.19007	283.84	0.094188	0.012117	12.129	0.082449	375.58	395.73	1.7300	0.74673	0.87570	146.99	34.874	10.548	0.011092
