Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cp (v, J/g*K),Sound Spd. (v, m/s),Joule-Thomson (v, K/MPa),Viscosity (v, uPa*s),Therm. Cond. (v, W/m*K)
257.29,2.2328,1012.2,0.00098798,161.24,163.44,0.86706,0.9326,2.2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.46,2.2442,1011.3,0.00098879,161.6,163.82,0.86848,0.93255,2.2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.63,2.2557,1010.5,0.0009896,161.96,164.19,0.86989,0.93251,2.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.8,2.2671,1009.7,0.00099041,162.32,164.57,0.8713,0.93248,2.2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.97,2.2785,1008.9,0.00099121,162.68,164.94,0.8727,0.93244,2.2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.14,2.2899,1008,0.00099202,163.04,165.31,0.8741,0.93241,2.2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.31,2.3014,1007.2,0.00099283,163.4,165.69,0.8755,0.93238,2.2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.47,2.3128,1006.4,0.00099364,163.76,166.06,0.87689,0.93236,2.2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.64,2.3242,1005.6,0.00099444,164.11,166.43,0.87827,0.93234,2.2352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.81,2.3357,1004.8,0.00099525,164.47,166.79,0.87965,0.93232,2.2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.97,2.3471,1004,0.00099606,164.82,167.16,0.88103,0.9323,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.14,2.3585,1003.1,0.00099686,165.18,167.53,0.8824,0.93229,2.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.3,2.37,1002.3,0.00099767,165.53,167.89,0.88376,0.93228,2.2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.47,2.3814,1001.5,0.00099848,165.88,168.26,0.88512,0.93227,2.2473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
