Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
296.78	6.2341	730.09	0.0013697	260.59	269.13	1.2304	1.0472	5.5578	293.27	1.9934	60.080	0.081651	0.00073806	227.09	0.0044035	371.37	398.82	1.6674	1.1450	6.7000	191.35	10.011	19.088	0.042964
296.87	6.2474	728.85	0.0013720	260.92	269.49	1.2316	1.0485	5.6077	292.05	2.0093	59.900	0.081580	0.00072651	228.07	0.0043846	371.16	398.55	1.6663	1.1473	6.7830	191.21	9.9861	19.127	0.043219
296.96	6.2606	727.60	0.0013744	261.26	269.86	1.2327	1.0499	5.6588	290.81	2.0255	59.719	0.081511	0.00071500	229.06	0.0043657	370.94	398.27	1.6652	1.1495	6.8681	191.07	9.9612	19.166	0.043479
297.05	6.2739	726.34	0.0013768	261.59	270.23	1.2339	1.0513	5.7114	289.57	2.0419	59.538	0.081443	0.00070352	230.05	0.0043468	370.72	398.00	1.6640	1.1519	6.9555	190.93	9.9361	19.205	0.043743
297.15	6.2872	725.07	0.0013792	261.93	270.60	1.2351	1.0527	5.7654	288.33	2.0585	59.356	0.081377	0.00069208	231.06	0.0043279	370.50	397.71	1.6629	1.1542	7.0453	190.79	9.9108	19.245	0.044011
297.24	6.3006	723.79	0.0013816	262.27	270.97	1.2363	1.0541	5.8209	287.08	2.0753	59.173	0.081313	0.00068068	232.07	0.0043090	370.28	397.43	1.6617	1.1566	7.1376	190.64	9.8854	19.285	0.044285
297.33	6.3139	722.50	0.0013841	262.61	271.35	1.2375	1.0556	5.8779	285.82	2.0924	58.990	0.081251	0.00066932	233.10	0.0042900	370.05	397.14	1.6606	1.1590	7.2324	190.49	9.8598	19.326	0.044563
297.42	6.3273	721.20	0.0013866	262.95	271.72	1.2387	1.0571	5.9366	284.55	2.1098	58.805	0.081191	0.00065800	234.14	0.0042710	369.83	396.85	1.6594	1.1614	7.3300	190.35	9.8339	19.368	0.044845
297.51	6.3407	719.89	0.0013891	263.29	272.10	1.2399	1.0586	5.9969	283.28	2.1274	58.620	0.081133	0.00064671	235.18	0.0042520	369.60	396.56	1.6582	1.1638	7.4303	190.20	9.8079	19.410	0.045133
297.61	6.3542	718.57	0.0013917	263.64	272.48	1.2411	1.0602	6.0590	282.00	2.1452	58.434	0.081077	0.00063547	236.24	0.0042330	369.36	396.26	1.6570	1.1663	7.5335	190.05	9.7817	19.452	0.045427
297.70	6.3676	717.23	0.0013942	263.99	272.87	1.2424	1.0618	6.1229	280.71	2.1633	58.247	0.081024	0.00062427	237.31	0.0042139	369.13	395.96	1.6558	1.1689	7.6398	189.89	9.7553	19.496	0.045725
297.79	6.3811	715.89	0.0013969	264.34	273.25	1.2436	1.0635	6.1888	279.42	2.1817	58.059	0.080973	0.00061310	238.39	0.0041949	368.89	395.65	1.6546	1.1714	7.7493	189.74	9.7286	19.539	0.046030
297.88	6.3946	714.53	0.0013995	264.69	273.64	1.2448	1.0652	6.2566	278.11	2.2003	57.871	0.080924	0.00060198	239.48	0.0041758	368.65	395.35	1.6534	1.1740	7.8621	189.58	9.7018	19.583	0.046339
297.97	6.4082	713.17	0.0014022	265.04	274.03	1.2461	1.0669	6.3266	276.80	2.2193	57.681	0.080879	0.00059090	240.58	0.0041566	368.40	395.04	1.6522	1.1767	7.9783	189.43	9.6747	19.628	0.046655
298.07	6.4217	711.79	0.0014049	265.40	274.42	1.2473	1.0687	6.3987	275.49	2.2385	57.491	0.080835	0.00057986	241.69	0.0041375	368.15	394.72	1.6509	1.1793	8.0982	189.27	9.6474	19.674	0.046977
298.16	6.4353	710.39	0.0014077	265.76	274.81	1.2486	1.0705	6.4732	274.16	2.2580	57.299	0.080795	0.00056887	242.82	0.0041183	367.90	394.40	1.6497	1.1821	8.2220	189.10	9.6199	19.720	0.047306
298.25	6.4489	708.99	0.0014105	266.12	275.21	1.2498	1.0724	6.5501	272.83	2.2778	57.106	0.080758	0.00055791	243.96	0.0040991	367.65	394.08	1.6484	1.1848	8.3497	188.94	9.5921	19.767	0.047641
298.34	6.4625	707.57	0.0014133	266.48	275.61	1.2511	1.0743	6.6295	271.49	2.2980	56.913	0.080724	0.00054700	245.11	0.0040798	367.39	393.76	1.6471	1.1876	8.4816	188.78	9.5641	19.814	0.047983
298.43	6.4762	706.14	0.0014161	266.84	276.01	1.2524	1.0763	6.7115	270.14	2.3184	56.718	0.080693	0.00053614	246.27	0.0040605	367.13	393.43	1.6458	1.1905	8.6179	188.61	9.5359	19.862	0.048332
298.52	6.4899	704.70	0.0014190	267.21	276.42	1.2537	1.0783	6.7963	268.78	2.3392	56.522	0.080665	0.00052532	247.45	0.0040412	366.87	393.09	1.6445	1.1934	8.7588	188.44	9.5074	19.911	0.048688
298.62	6.5036	703.24	0.0014220	267.58	276.83	1.2550	1.0804	6.8841	267.41	2.3603	56.325	0.080641	0.00051454	248.64	0.0040218	366.60	392.76	1.6432	1.1963	8.9046	188.27	9.4786	19.960	0.049052
298.71	6.5173	701.76	0.0014250	267.95	277.24	1.2563	1.0826	6.9750	266.04	2.3818	56.127	0.080621	0.00050381	249.85	0.0040024	366.33	392.41	1.6419	1.1993	9.0555	188.09	9.4496	20.010	0.049424
298.80	6.5311	700.28	0.0014280	268.33	277.65	1.2576	1.0848	7.0691	264.65	2.4036	55.928	0.080604	0.00049312	251.07	0.0039829	366.06	392.07	1.6405	1.2023	9.2118	187.91	9.4203	20.062	0.049804
298.89	6.5448	698.77	0.0014311	268.70	278.07	1.2590	1.0870	7.1666	263.26	2.4257	55.727	0.080592	0.00048249	252.31	0.0039634	365.78	391.72	1.6392	1.2054	9.3738	187.73	9.3908	20.113	0.050193
298.98	6.5586	697.25	0.0014342	269.08	278.49	1.2603	1.0893	7.2677	261.86	2.4483	55.525	0.080584	0.00047189	253.56	0.0039439	365.50	391.36	1.6378	1.2086	9.5418	187.55	9.3609	20.166	0.050591
