Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
233.09	1.0023	1116.7	0.00089553	111.89	112.78	0.66514	0.95296	2.0114	856.73	-0.070222	192.88	0.15681	0.012694	26.065	0.038365	396.86	435.31	2.0488	0.68048	1.0327	223.50	21.527	11.741	0.012748
233.13	1.0037	1116.5	0.00089565	111.96	112.86	0.66546	0.95291	2.0116	856.46	-0.070010	192.76	0.15677	0.012686	26.101	0.038313	396.86	435.32	2.0486	0.68061	1.0331	223.50	21.518	11.743	0.012752
233.17	1.0051	1116.4	0.00089577	112.04	112.94	0.66577	0.95287	2.0117	856.18	-0.069797	192.64	0.15672	0.012677	26.136	0.038261	396.87	435.33	2.0484	0.68074	1.0334	223.50	21.509	11.745	0.012756
233.20	1.0065	1116.2	0.00089588	112.11	113.01	0.66609	0.95282	2.0119	855.91	-0.069584	192.52	0.15668	0.012669	26.171	0.038210	396.88	435.33	2.0482	0.68087	1.0338	223.49	21.500	11.747	0.012760
233.24	1.0079	1116.1	0.00089600	112.18	113.09	0.66641	0.95278	2.0121	855.64	-0.069371	192.41	0.15663	0.012660	26.207	0.038158	396.88	435.34	2.0481	0.68099	1.0341	223.49	21.491	11.749	0.012764
233.28	1.0092	1115.9	0.00089612	112.26	113.16	0.66673	0.95274	2.0123	855.37	-0.069158	192.29	0.15659	0.012652	26.242	0.038106	396.89	435.35	2.0479	0.68112	1.0345	223.49	21.482	11.751	0.012768
233.32	1.0106	1115.8	0.00089624	112.33	113.24	0.66704	0.95269	2.0125	855.10	-0.068945	192.18	0.15654	0.012644	26.278	0.038055	396.90	435.36	2.0477	0.68125	1.0348	223.49	21.473	11.753	0.012773
233.35	1.0120	1115.6	0.00089636	112.40	113.31	0.66736	0.95265	2.0127	854.83	-0.068732	192.06	0.15650	0.012635	26.313	0.038004	396.90	435.36	2.0475	0.68138	1.0352	223.49	21.464	11.755	0.012777
233.39	1.0134	1115.5	0.00089647	112.48	113.39	0.66768	0.95261	2.0129	854.56	-0.068519	191.94	0.15645	0.012627	26.349	0.037953	396.91	435.37	2.0473	0.68151	1.0355	223.49	21.455	11.757	0.012781
233.43	1.0148	1115.3	0.00089659	112.55	113.46	0.66799	0.95256	2.0130	854.30	-0.068306	191.83	0.15641	0.012619	26.384	0.037902	396.92	435.38	2.0471	0.68164	1.0359	223.48	21.446	11.759	0.012785
233.46	1.0162	1115.2	0.00089671	112.62	113.54	0.66831	0.95252	2.0132	854.03	-0.068093	191.71	0.15636	0.012610	26.419	0.037851	396.93	435.39	2.0469	0.68177	1.0362	223.48	21.438	11.761	0.012789
233.50	1.0175	1115.0	0.00089683	112.70	113.61	0.66862	0.95248	2.0134	853.76	-0.067880	191.60	0.15632	0.012602	26.455	0.037800	396.93	435.40	2.0467	0.68189	1.0366	223.48	21.429	11.763	0.012793
233.54	1.0189	1114.9	0.00089694	112.77	113.69	0.66894	0.95243	2.0136	853.49	-0.067667	191.48	0.15627	0.012594	26.490	0.037750	396.94	435.40	2.0465	0.68202	1.0369	223.48	21.420	11.765	0.012798
233.57	1.0203	1114.8	0.00089706	112.85	113.76	0.66925	0.95239	2.0138	853.22	-0.067454	191.37	0.15623	0.012586	26.526	0.037699	396.95	435.41	2.0463	0.68215	1.0372	223.48	21.411	11.767	0.012802
233.61	1.0217	1114.6	0.00089718	112.92	113.83	0.66956	0.95235	2.0140	852.95	-0.067241	191.25	0.15618	0.012577	26.561	0.037649	396.95	435.42	2.0461	0.68228	1.0376	223.48	21.402	11.769	0.012806
233.65	1.0231	1114.5	0.00089729	112.99	113.91	0.66988	0.95231	2.0142	852.69	-0.067027	191.14	0.15614	0.012569	26.597	0.037599	396.96	435.43	2.0459	0.68241	1.0379	223.47	21.394	11.771	0.012810
233.69	1.0245	1114.3	0.00089741	113.06	113.98	0.67019	0.95226	2.0144	852.42	-0.066814	191.02	0.15609	0.012561	26.632	0.037549	396.97	435.43	2.0458	0.68253	1.0383	223.47	21.385	11.773	0.012814
233.72	1.0258	1114.2	0.00089753	113.14	114.06	0.67050	0.95222	2.0145	852.15	-0.066601	190.91	0.15605	0.012553	26.667	0.037499	396.97	435.44	2.0456	0.68266	1.0386	223.47	21.376	11.775	0.012818
233.76	1.0272	1114.0	0.00089765	113.21	114.13	0.67082	0.95218	2.0147	851.88	-0.066388	190.79	0.15600	0.012544	26.703	0.037449	396.98	435.45	2.0454	0.68279	1.0390	223.47	21.367	11.777	0.012823
233.80	1.0286	1113.9	0.00089776	113.28	114.21	0.67113	0.95214	2.0149	851.62	-0.066174	190.68	0.15596	0.012536	26.738	0.037399	396.99	435.46	2.0452	0.68292	1.0393	223.47	21.359	11.779	0.012827
233.83	1.0300	1113.7	0.00089788	113.36	114.28	0.67144	0.95209	2.0151	851.35	-0.065961	190.57	0.15591	0.012528	26.774	0.037350	396.99	435.46	2.0450	0.68305	1.0397	223.47	21.350	11.781	0.012831
233.87	1.0314	1113.6	0.00089800	113.43	114.35	0.67175	0.95205	2.0153	851.09	-0.065748	190.45	0.15587	0.012520	26.809	0.037301	397.00	435.47	2.0448	0.68317	1.0400	223.46	21.341	11.783	0.012835
233.91	1.0328	1113.4	0.00089811	113.50	114.43	0.67206	0.95201	2.0155	850.82	-0.065534	190.34	0.15583	0.012512	26.845	0.037251	397.01	435.48	2.0446	0.68330	1.0404	223.46	21.333	11.785	0.012839
